date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,1,0,0,1,0,0,1
03-23-2020,2,0,0,2,0,0,2.0
03-24-2020,2,0,0,2,0,0,1.0
03-25-2020,7,0,0,7,0,0,3.5
03-26-2020,11,0,0,11,0,0,1.5714285714285714
03-27-2020,11,0,0,11,0,0,1.0
03-28-2020,11,0,0,11,0,0,1.0
03-29-2020,11,0,0,11,0,0,1.0
03-30-2020,11,0,0,11,0,0,1.0
03-31-2020,12,0,0,12,0,0,1.0909090909090908
04-01-2020,12,0,0,12,0,0,1.0
04-02-2020,12,0,0,12,0,0,1.0
04-03-2020,12,0,0,12,0,0,1.0
04-04-2020,14,0,0,14,0,0,1.1666666666666667
04-05-2020,14,0,0,14,0,0,1.0
04-06-2020,15,0,1,14,0,6.67,1.0714285714285714
04-07-2020,15,0,1,14,0,6.67,1.0
04-08-2020,15,0,1,14,0,6.67,1.0
04-09-2020,15,0,1,14,0,6.67,1.0
04-10-2020,16,0,5,11,0,31.25,1.0666666666666667
04-11-2020,16,0,5,11,0,31.25,1.0
04-12-2020,16,0,8,8,0,50.0,1.0
04-13-2020,16,0,8,8,0,50.0,1.0
04-14-2020,16,0,8,8,0,50.0,1.0
04-15-2020,16,0,8,8,0,50.0,1.0
04-16-2020,16,0,8,8,0,50.0,1.0
04-17-2020,16,0,8,8,0,50.0,1.0
04-18-2020,16,0,8,8,0,50.0,1.0
04-19-2020,16,0,8,8,0,50.0,1.0
04-20-2020,16,0,8,8,0,50.0,1.0
04-21-2020,16,0,8,8,0,50.0,1.0
04-22-2020,16,0,9,7,0,56.25,1.0
04-23-2020,16,0,9,7,0,56.25,1.0
04-24-2020,16,0,10,6,0,62.5,1.0
04-25-2020,16,0,13,3,0,81.25,1.0
04-26-2020,16,0,13,3,0,81.25,1.0
04-27-2020,16,0,13,3,0,81.25,1.0
04-28-2020,16,0,13,3,0,81.25,1.0
04-29-2020,16,0,13,3,0,81.25,1.0
04-30-2020,16,0,13,3,0,81.25,1.0
05-01-2020,16,0,13,3,0,81.25,1.0
