date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-27-2020,1,0,0,1,0,0,1
01-28-2020,1,0,0,1,0,0,1.0
01-29-2020,1,0,0,1,0,0,1.0
01-30-2020,1,0,0,1,0,0,1.0
01-31-2020,1,0,0,1,0,0,1.0
02-01-2020,1,0,0,1,0,0,1.0
02-02-2020,1,0,0,1,0,0,1.0
02-03-2020,1,0,0,1,0,0,1.0
02-04-2020,1,0,0,1,0,0,1.0
02-05-2020,1,0,0,1,0,0,1.0
02-06-2020,1,0,0,1,0,0,1.0
02-07-2020,1,0,0,1,0,0,1.0
02-08-2020,1,0,1,0,0,100.0,1.0
02-09-2020,1,0,1,0,0,100.0,1.0
02-10-2020,1,0,1,0,0,100.0,1.0
02-11-2020,1,0,1,0,0,100.0,1.0
02-12-2020,1,0,1,0,0,100.0,1.0
02-13-2020,1,0,1,0,0,100.0,1.0
02-14-2020,1,0,1,0,0,100.0,1.0
02-15-2020,1,0,1,0,0,100.0,1.0
02-16-2020,1,0,1,0,0,100.0,1.0
02-17-2020,1,0,1,0,0,100.0,1.0
02-18-2020,1,0,1,0,0,100.0,1.0
02-19-2020,1,0,1,0,0,100.0,1.0
02-20-2020,1,0,1,0,0,100.0,1.0
02-21-2020,1,0,1,0,0,100.0,1.0
02-22-2020,1,0,1,0,0,100.0,1.0
02-23-2020,1,0,1,0,0,100.0,1.0
02-24-2020,1,0,1,0,0,100.0,1.0
02-25-2020,1,0,1,0,0,100.0,1.0
02-26-2020,1,0,1,0,0,100.0,1.0
02-27-2020,1,0,1,0,0,100.0,1.0
02-28-2020,1,0,1,0,0,100.0,1.0
02-29-2020,1,0,1,0,0,100.0,1.0
03-01-2020,1,0,1,0,0,100.0,1.0
03-02-2020,1,0,1,0,0,100.0,1.0
03-03-2020,1,0,1,0,0,100.0,1.0
03-04-2020,1,0,1,0,0,100.0,1.0
03-05-2020,1,0,1,0,0,100.0,1.0
03-06-2020,1,0,1,0,0,100.0,1.0
03-07-2020,1,0,1,0,0,100.0,1.0
03-08-2020,1,0,1,0,0,100.0,1.0
03-09-2020,1,0,1,0,0,100.0,1.0
03-10-2020,1,0,1,0,0,100.0,1.0
03-11-2020,2,0,1,1,0,50.0,2.0
03-12-2020,2,0,1,1,0,50.0,1.0
03-13-2020,6,0,1,5,0,16.67,3.0
03-14-2020,10,0,1,9,0,10.0,1.6666666666666665
03-15-2020,18,0,1,17,0,5.56,1.8
03-16-2020,28,0,1,27,0,3.57,1.5555555555555556
03-17-2020,44,0,1,43,0,2.27,1.5714285714285714
03-18-2020,51,0,1,50,0,1.96,1.1590909090909092
03-19-2020,60,0,3,57,0,5.0,1.1764705882352942
03-20-2020,73,0,3,70,0,4.11,1.2166666666666668
03-21-2020,77,0,1,76,0,1.3,1.0547945205479452
03-22-2020,82,0,3,79,0,3.66,1.0649350649350648
03-23-2020,97,0,2,95,0,2.06,1.1829268292682926
03-24-2020,102,0,2,100,0,1.96,1.0515463917525774
03-25-2020,102,0,3,99,0,2.94,1.0
03-26-2020,106,0,7,99,0,6.6,1.0392156862745099
03-27-2020,106,0,7,99,0,6.6,1.0
03-28-2020,113,1,9,104,0.88,7.96,1.0660377358490567
03-29-2020,117,1,11,106,0.85,9.4,1.0353982300884956
03-30-2020,122,2,15,107,1.64,12.3,1.0427350427350428
03-31-2020,143,2,17,126,1.4,11.89,1.1721311475409837
04-01-2020,146,3,21,125,2.05,14.38,1.020979020979021
04-02-2020,151,4,21,130,2.65,13.91,1.0342465753424657
04-03-2020,159,4,24,135,2.52,15.09,1.0529801324503312
04-04-2020,166,5,27,139,3.01,16.27,1.0440251572327044
04-05-2020,176,5,33,143,2.84,18.75,1.0602409638554218
04-06-2020,178,5,38,140,2.81,21.35,1.0113636363636365
04-07-2020,185,6,42,143,3.24,22.7,1.0393258426966292
04-08-2020,189,7,44,145,3.7,23.28,1.0216216216216216
04-09-2020,190,7,49,141,3.68,25.79,1.0052910052910053
04-10-2020,190,7,54,136,3.68,28.42,1.0
04-11-2020,198,7,54,144,3.54,27.27,1.0421052631578946
04-12-2020,210,7,56,154,3.33,26.67,1.0606060606060606
04-13-2020,217,7,56,161,3.23,25.81,1.0333333333333334
04-14-2020,233,7,61,172,3.0,26.18,1.0737327188940091
04-15-2020,238,7,63,175,2.94,26.47,1.0214592274678111
04-16-2020,238,7,68,170,2.94,28.57,1.0
04-17-2020,244,7,77,167,2.87,31.56,1.0252100840336134
04-18-2020,254,7,86,168,2.76,33.86,1.040983606557377
04-19-2020,271,7,96,175,2.58,35.42,1.0669291338582678
04-20-2020,304,7,98,206,2.3,32.24,1.121771217712177
04-21-2020,310,7,102,208,2.26,32.9,1.019736842105263
04-22-2020,330,7,105,225,2.12,31.82,1.064516129032258
04-23-2020,368,7,107,261,1.9,29.08,1.1151515151515152
04-24-2020,420,7,109,311,1.67,25.95,1.141304347826087
04-25-2020,460,7,118,342,1.52,25.65,1.0952380952380953
04-26-2020,523,7,120,403,1.34,22.94,1.1369565217391304
04-27-2020,588,7,126,462,1.19,21.43,1.124282982791587
04-28-2020,619,7,134,485,1.13,21.65,1.0527210884353742
04-29-2020,649,7,136,513,1.08,20.96,1.048465266558966
04-30-2020,663,7,154,509,1.06,23.23,1.0215716486902928
05-01-2020,690,7,162,528,1.01,23.48,1.0407239819004526
05-02-2020,705,7,172,533,0.99,24.4,1.0217391304347827
05-03-2020,718,7,184,534,0.97,25.63,1.0184397163120567
05-04-2020,751,8,194,557,1.07,25.83,1.0459610027855153
05-05-2020,771,9,213,558,1.17,27.63,1.0266311584553929
05-06-2020,797,9,215,582,1.13,26.98,1.0337224383916992
05-07-2020,824,9,232,592,1.09,28.16,1.0338770388958596
05-08-2020,835,9,240,595,1.08,28.74,1.0133495145631068
05-09-2020,847,9,260,587,1.06,30.7,1.0143712574850299
05-10-2020,863,9,321,542,1.04,37.2,1.0188902007083824
05-11-2020,869,9,343,526,1.04,39.47,1.006952491309386
05-12-2020,889,9,366,523,1.01,41.17,1.0230149597238205
05-13-2020,915,9,382,533,0.98,41.75,1.0292463442069741
05-14-2020,925,9,445,480,0.97,48.11,1.010928961748634
05-15-2020,935,9,477,458,0.96,51.02,1.0108108108108107
05-16-2020,960,9,520,440,0.94,54.17,1.0267379679144386
05-17-2020,981,9,538,443,0.92,54.84,1.021875
05-18-2020,992,9,559,433,0.91,56.35,1.0112130479102956
05-19-2020,1027,9,569,458,0.88,55.4,1.0352822580645162
05-20-2020,1028,9,584,444,0.88,56.81,1.0009737098344693
05-21-2020,1055,9,604,451,0.85,57.25,1.0262645914396886
05-22-2020,1068,9,620,448,0.84,58.05,1.0123222748815166
05-23-2020,1089,9,660,429,0.83,60.61,1.0196629213483146
05-24-2020,1141,9,674,467,0.79,59.07,1.0477502295684114
05-25-2020,1182,10,695,487,0.85,58.8,1.0359333917616127
05-26-2020,1319,10,712,607,0.76,53.98,1.1159052453468696
05-27-2020,1469,10,732,737,0.68,49.83,1.1137225170583775
05-28-2020,1530,10,745,785,0.65,48.69,1.0415248468345812
05-29-2020,1558,10,754,804,0.64,48.4,1.0183006535947712
05-30-2020,1620,10,781,839,0.62,48.21,1.0397946084724006
05-31-2020,1633,10,801,832,0.61,49.05,1.0080246913580246
06-01-2020,1643,11,811,832,0.67,49.36,1.0061236987140232
06-02-2020,1683,11,823,860,0.65,48.9,1.0243457090687766
06-03-2020,1749,11,836,913,0.63,47.8,1.0392156862745099
06-04-2020,1797,11,839,958,0.61,46.69,1.0274442538593482
06-05-2020,1801,11,858,943,0.61,47.64,1.0022259321090707
06-06-2020,1814,11,891,923,0.61,49.12,1.0072182121043864
06-07-2020,1835,11,941,894,0.6,51.28,1.0115766262403527
06-08-2020,1857,11,990,867,0.59,53.31,1.0119891008174386
06-09-2020,1859,11,1057,802,0.59,56.86,1.0010770059235325
06-10-2020,1869,11,1122,747,0.59,60.03,1.005379236148467
06-11-2020,1877,11,1150,727,0.59,61.27,1.0042803638309257
06-12-2020,1880,11,1196,684,0.59,63.62,1.001598295151838
06-13-2020,1884,11,1252,632,0.58,66.45,1.0021276595744681
06-14-2020,1889,11,1287,602,0.58,68.13,1.0026539278131634
06-15-2020,1905,11,1342,563,0.58,70.45,1.008470089994706
06-16-2020,1915,11,1371,544,0.57,71.59,1.005249343832021
06-17-2020,1924,11,1397,527,0.57,72.61,1.0046997389033943
06-18-2020,1947,11,1421,526,0.56,72.98,1.0119542619542619
06-19-2020,1950,11,1446,504,0.56,74.15,1.0015408320493067
06-20-2020,1950,11,1472,478,0.56,75.49,1.0
06-21-2020,1950,11,1498,452,0.56,76.82,1.0
